,Neuron name,Current Root ID Spring 2023,id
65,B1-5_L9,720575940609832410,720575940609832410
66,B1-5_L10,720575940617609029,720575940616804806
67,B1-5_R1,720575940621242025,720575940621242025
68,B1-5_R2,720575940618392912,720575940618392912
69,B1-5_R3,720575940634877850,720575940634877850
70,B1-5_R4,720575940620731631,720575940620731631
71,B1-5_R5,720575940616633925,720575940616633925
72,B1-5_R6,720575940630277175,720575940630277175
73,B1-5_R7,720575940628016983,720575940628016983
74,B1-5_R8,720575940646400644,720575940646400644
75,B1-5_R9,720575940627455621,720575940627455621
76,B1-5_R10,720575940631490360,720575940623233238
77,B1-5_R11,720575940621800798,720575940621800798
78,B1-5_R12,720575940617882397,720575940617882397
79,B1-5_R13,720575940622577336,720575940622577336
80,B1-u_L1,720575940624795017,720575940624795017
81,B1-u_L2,720575940612153086,720575940612153086
82,B1-u_L3,720575940630788919,720575940630788919
83,B1-u_L4,720575940621339686,720575940621339686
84,B1-u_L5,720575940612833278,720575940609648395
85,B1-u_L6,720575940623738810,720575940627235386
86,B1-u_L7,720575940618063855,720575940632829507
